N,m,Method,rejection_rate
215,170,GPCA,0.5
215,170,PCA,0.08
215,170,Regression,0.12
215,170,Spatial Average,0.1
215,310,CCA,0.4
215,310,Composites,0.12
215,310,GPCA,0.78
215,310,PCA,0.04
215,310,Regression,0.08
215,310,Spatial Average,0.08
215,555,CCA,0.48
215,555,Composites,0.16
215,555,GPCA,0.84
215,555,PCA,0.08
215,555,Regression,0.18
215,555,Spatial Average,0.06
215,1000,CCA,0.7
215,1000,Composites,0.04
215,1000,GPCA,0.94
215,1000,PCA,0.06
215,1000,Regression,0.14
215,1000,Spatial Average,0.1
278,5,CCA,0.14
278,5,Composites,0.08
278,5,GPCA,0.12
278,5,PCA,0.06
278,5,Regression,0.1
278,5,Spatial Average,0.06
278,10,CCA,0.16
278,10,Composites,0.1
278,10,GPCA,0.22
278,10,PCA,0.06
278,10,Regression,0.12
278,10,Spatial Average,0.08
278,15,CCA,0.26
278,15,Composites,0.12
278,15,GPCA,0.2
278,15,PCA,0.02
278,15,Regression,0.04
278,15,Spatial Average,0.02
278,30,CCA,0.14
278,30,Composites,0.06
278,30,GPCA,0.12
278,30,PCA,0.08
278,30,Regression,0.1
278,30,Spatial Average,0.1
278,55,CCA,0.38
278,55,Composites,0.06
278,55,GPCA,0.44
278,55,PCA,0.04
278,55,Regression,0.04
278,55,Spatial Average,0.02
278,95,CCA,0.3
278,95,Composites,0.1
278,95,GPCA,0.64
278,95,PCA,0.08
278,95,Regression,0.08
278,95,Spatial Average,0.1
278,170,CCA,0.18
278,170,Composites,0.1
278,170,GPCA,0.6
278,170,PCA,0.1
278,170,Regression,0.1
278,170,Spatial Average,0.06
278,310,CCA,0.26
278,310,Composites,0.1
278,310,GPCA,0.9
278,310,PCA,0.12
278,310,Regression,0.08
278,310,Spatial Average,0.08
278,555,CCA,0.64
278,555,Composites,0.04
278,555,GPCA,0.94
278,555,PCA,0.02
278,555,Regression,0.04
278,555,Spatial Average,0.02
278,1000,CCA,0.9
278,1000,Composites,0.06
278,1000,GPCA,1.0
278,1000,PCA,0.06
278,1000,Regression,0.14
278,1000,Spatial Average,0.04
359,5,CCA,0.14
359,5,Composites,0.1
359,5,GPCA,0.14
